"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 100","22,971.05","23,370.50","22,720.45","23,272.75","23,304.20","-","31.45","0.14","86,24,56,259","53,816.63","26,975.15","22,177.35","-8.84","-2.22"
"HDFCBANK","730.00","755.00","726.65","742.25","751.00","-","8.75","1.18","4,93,10,300","3,651.67","1,020.50","726.65","-14.60","-16.32"
"RELIANCE","1,357.00","1,358.20","1,328.00","1,369.20","1,350.90","-","-18.30","-1.34","2,12,80,051","2,865.68","1,611.80","1,114.85","-0.52","8.18"
"ICICIBANK","1,196.00","1,222.10","1,187.60","1,212.70","1,216.50","-","3.80","0.31","2,08,51,722","2,512.42","1,500.00","1,187.60","-11.46","-8.50"
"SBIN","1,000.00","1,026.00","977.90","1,017.80","1,018.00","-","0.20","0.02","2,07,77,629","2,079.36","1,234.70","730.00","-14.45","30.65"
"BHARTIARTL","1,765.00","1,799.40","1,746.90","1,781.90","1,792.00","-","10.10","0.57","1,08,57,093","1,919.58","2,174.50","1,669.40","-4.33","2.63"
"INFY","1,260.00","1,305.40","1,259.80","1,275.70","1,297.50","-","21.80","1.71","1,28,73,492","1,654.68","1,728.00","1,215.10","0.67","-13.30"
"ETERNAL","230.95","232.50","223.74","236.52","231.99","-","-4.53","-1.92","6,65,56,155","1,513.55","368.45","194.80","-4.48","10.00"
"LT","3,539.30","3,629.00","3,470.00","3,607.50","3,610.00","-","2.50","0.07","41,21,638","1,462.75","4,440.00","2,965.30","-11.23","5.55"
"TCS","2,386.00","2,469.90","2,375.70","2,408.20","2,445.70","-","37.50","1.56","53,78,361","1,306.22","3,630.50","2,346.20","-6.42","-28.13"
"AXISBANK","1,174.60","1,202.30","1,150.30","1,193.10","1,198.10","-","5.00","0.42","95,01,543","1,116.41","1,418.30","1,032.35","-12.69","9.93"
"VEDL","669.90","689.60","652.80","677.20","686.50","-","9.30","1.37","1,60,16,248","1,076.20","769.80","363.00","-5.09","56.20"
"M&M","2,975.00","3,028.80","2,928.10","3,031.50","3,007.00","-","-24.50","-0.81","32,97,975","982.44","3,839.90","2,425.00","-9.82","15.15"
"ADANIPOWER","154.50","160.35","150.62","157.11","159.75","-","2.64","1.68","5,98,33,120","937.70","182.70","92.40","15.79","51.04"
"INDIGO","4,070.00","4,211.40","3,970.00","4,180.80","4,170.00","-","-10.80","-0.26","22,22,700","906.97","6,232.50","3,895.20","-7.75","-16.66"
"HCLTECH","1,347.00","1,412.80","1,341.20","1,354.40","1,395.00","-","40.60","3.00","65,09,389","901.24","1,780.10","1,297.70","1.75","-5.11"
"BEL","417.00","423.60","407.50","418.70","421.60","-","2.90","0.69","1,96,86,517","820.40","473.45","256.20","-7.13","46.64"
"TMCV","390.00","392.65","375.80","396.05","386.90","-","-9.15","-2.31","2,10,90,138","804.91","509.00","306.30","-22.31","-"
"ADANIGREEN","840.00","863.95","814.75","851.95","853.00","-","1.05","0.12","95,16,053","787.92","1,177.55","765.00","-5.59","-10.71"
"KOTAKBANK","350.30","359.85","345.50","356.05","357.80","-","1.75","0.49","2,20,56,018","777.10","460.38","345.50","-13.39","-16.11"
"BAJFINANCE","809.00","830.05","792.45","817.30","828.90","-","11.60","1.42","91,13,618","739.89","1,102.50","787.90","-15.27","-3.56"
"HINDALCO","898.95","920.95","884.80","904.60","919.95","-","15.35","1.70","76,98,211","696.50","1,029.80","546.45","-2.13","40.96"
"MAZDOCK","2,250.00","2,279.00","2,202.80","2,318.20","2,264.00","-","-54.20","-2.34","30,98,113","692.67","3,775.00","2,057.40","2.45","-17.30"
"DMART","4,228.40","4,393.70","4,190.30","4,271.10","4,333.00","-","61.90","1.45","15,79,436","681.34","4,949.50","3,529.00","13.95","4.21"
"SUNPHARMA","1,665.00","1,700.00","1,620.00","1,728.50","1,692.00","-","-36.50","-2.11","39,37,824","659.66","1,851.20","1,548.00","-3.45","-4.41"
"TITAN","3,996.00","4,109.10","3,944.70","4,065.50","4,078.00","-","12.50","0.31","16,14,868","653.79","4,378.40","2,925.00","-4.50","30.39"
"SHRIRAMFIN","876.00","895.00","863.45","900.55","891.80","-","-8.75","-0.97","72,30,236","634.95","1,108.00","566.50","-15.27","36.33"
"ONGC","288.50","288.80","283.50","288.05","286.10","-","-1.95","-0.68","2,09,35,809","598.68","293.00","205.00","1.38","17.59"
"NTPC","359.95","361.30","352.00","364.65","358.90","-","-5.75","-1.58","1,65,51,512","588.57","394.50","315.55","-4.94","-"
"HAL","3,638.20","3,700.10","3,551.00","3,670.80","3,680.50","-","9.70","0.26","16,11,009","584.18","5,165.00","3,479.10","-6.86","-14.79"
"MARUTI","12,389.00","12,673.00","12,239.00","12,509.00","12,590.00","-","81.00","0.65","4,38,227","546.16","17,370.00","11,059.45","-12.50","7.72"
"TATASTEEL","192.91","194.85","187.95","194.60","193.50","-","-1.10","-0.57","2,76,33,959","527.89","216.45","125.30","-8.30","25.96"
"ITC","290.25","293.65","288.40","291.70","292.30","-","0.60","0.21","1,80,82,775","526.44","444.20","287.00","-7.18","-28.60"
"POWERGRID","290.20","292.00","283.50","292.80","290.95","-","-1.85","-0.63","1,72,22,200","494.71","322.00","250.00","-1.97","-2.72"
"EICHERMOT","6,766.00","6,766.00","6,585.00","6,825.50","6,660.00","-","-165.50","-2.42","6,60,432","438.64","8,230.00","4,999.95","-14.90","23.81"
"ADANIPORTS","1,354.40","1,384.20","1,332.60","1,385.40","1,380.00","-","-5.40","-0.39","32,10,456","436.01","1,584.00","1,041.50","-6.14","15.01"
"DRREDDY","1,187.50","1,222.60","1,167.50","1,209.60","1,214.00","-","4.40","0.36","35,60,727","430.00","1,379.70","1,020.00","-6.21","5.43"
"JIOFIN","227.85","230.14","223.55","231.93","229.95","-","-1.98","-0.85","1,85,41,635","419.97","338.60","203.10","-7.65","-0.20"
"ASIANPAINT","2,185.00","2,185.10","2,142.40","2,225.80","2,170.40","-","-55.40","-2.49","18,54,061","401.01","2,985.70","2,115.00","-5.93","-7.62"
"DLF","501.00","524.45","489.40","509.75","521.00","-","11.25","2.21","78,52,289","398.72","886.80","489.40","-11.72","-23.39"
"TRENT","3,435.00","3,567.40","3,400.20","3,526.50","3,532.90","-","6.40","0.18","11,31,209","394.92","6,261.00","3,275.50","-8.20","-37.75"
"CIPLA","1,190.00","1,196.60","1,165.70","1,195.90","1,195.00","-","-0.90","-0.08","31,28,666","370.89","1,673.00","1,165.70","-11.59","-20.10"
"BAJAJFINSV","1,635.00","1,646.50","1,597.00","1,647.00","1,640.00","-","-7.00","-0.43","22,84,337","370.80","2,195.00","1,597.00","-15.55","-14.60"
"CANBK","124.16","127.71","121.79","127.30","127.00","-","-0.30","-0.24","2,97,41,553","369.03","162.89","83.70","-17.30","34.56"
"BPCL","275.30","281.15","266.60","281.25","279.00","-","-2.25","-0.80","1,34,04,373","365.62","391.65","262.00","-25.56","-2.72"
"BANKBARODA","248.95","250.98","241.00","252.03","250.00","-","-2.03","-0.81","1,48,87,386","365.49","325.50","212.55","-20.69","5.58"
"TATAPOWER","378.85","386.65","368.00","380.20","382.50","-","2.30","0.60","95,43,544","360.18","418.45","335.00","3.84","-0.82"
"PFC","391.05","403.95","382.25","397.70","401.70","-","4.00","1.01","91,47,188","359.62","444.10","329.90","-1.11","-4.66"
"TECHM","1,390.00","1,447.00","1,383.50","1,404.50","1,439.00","-","34.50","2.46","25,01,510","356.80","1,854.00","1,209.40","6.96","5.09"
"ULTRACEMCO","10,639.00","10,663.00","10,365.00","10,714.00","10,600.00","-","-114.00","-1.06","3,33,524","351.13","13,110.00","10,325.00","-15.34","-8.67"
"LODHA","675.00","702.95","650.80","685.35","697.35","-","12.00","1.75","48,77,982","332.25","1,531.00","650.80","-27.83","-42.73"
"ADANIENT","1,805.00","1,842.90","1,770.10","1,842.50","1,833.00","-","-9.50","-0.52","18,30,598","329.43","2,616.50","1,753.00","-13.72","-21.69"
"HDFCLIFE","568.60","568.90","555.10","572.95","565.00","-","-7.95","-1.39","58,37,873","328.26","820.75","555.10","-20.12","-18.46"
"TORNTPHARM","4,075.00","4,090.80","3,871.10","4,111.30","3,990.00","-","-121.30","-2.95","8,10,162","321.09","4,482.90","3,101.60","-8.68","22.86"
"WIPRO","190.50","195.34","188.58","191.18","194.80","-","3.62","1.89","1,66,23,045","320.94","273.10","186.50","-1.90","-24.01"
"CUMMINSIND","4,593.00","4,670.00","4,470.00","4,609.10","4,650.40","-","41.30","0.90","6,74,542","309.24","4,987.00","2,580.00","-3.45","53.34"
"TVSMOTOR","3,400.00","3,405.90","3,293.80","3,425.80","3,392.00","-","-33.80","-0.99","9,20,766","308.73","3,970.00","2,221.10","-11.04","36.99"
"IOC","134.20","134.67","130.22","135.72","134.50","-","-1.22","-0.90","2,28,34,708","302.19","188.96","122.35","-24.91","2.62"
"COALINDIA","448.40","453.30","440.50","449.40","449.30","-","-0.10","-0.02","67,01,003","299.35","476.00","356.00","5.41","13.16"
"CHOLAFIN","1,359.70","1,364.40","1,299.40","1,373.60","1,355.10","-","-18.50","-1.35","22,45,874","297.52","1,831.50","1,299.40","-20.46","-6.25"
"DIVISLAB","5,851.00","5,869.50","5,647.50","5,906.50","5,848.50","-","-58.00","-0.98","5,13,534","295.77","7,071.50","4,955.00","-8.67","1.48"
"LTM","4,080.00","4,318.90","4,016.60","4,107.00","4,285.00","-","178.00","4.33","6,96,404","294.84","6,429.50","3,802.00","-2.71","-1.31"
"HINDUNILVR","2,055.00","2,069.90","2,022.50","2,064.70","2,065.00","-","0.30","0.01","14,31,905","293.06","2,750.00","2,022.50","-11.01","-8.00"
"MOTHERSON","105.42","107.23","102.82","107.62","106.98","-","-0.64","-0.59","2,67,17,165","281.63","136.15","71.50","-16.84","24.45"
"TMPV","298.00","304.30","295.05","302.95","303.50","-","0.55","0.18","90,98,035","272.39","744.00","294.30","-18.11","-53.59"
"BOSCHLTD","30,035.00","32,325.00","29,900.00","30,635.00","32,205.00","-","1,570.00","5.12","85,448","269.67","41,945.00","25,921.60","-8.95","14.96"
"TATACONSUM","1,020.00","1,046.10","1,007.20","1,023.80","1,044.90","-","21.10","2.06","25,86,178","267.32","1,220.90","1,007.20","-7.14","-2.44"
"SBILIFE","1,760.00","1,778.90","1,728.10","1,790.50","1,768.90","-","-21.60","-1.21","14,94,738","261.63","2,132.00","1,430.55","-12.96","14.70"
"HDFCAMC","2,298.00","2,358.30","2,241.20","2,340.50","2,357.50","-","17.00","0.73","11,24,725","259.22","2,967.25","1,783.43","-11.03","16.61"
"RECLTD","317.55","325.95","311.25","322.10","325.20","-","3.10","0.96","81,00,516","257.77","448.00","304.05","-4.06","-23.56"
"SOLARINDS","12,700.00","13,165.00","12,340.00","12,807.00","13,050.00","-","243.00","1.90","1,98,905","254.85","17,820.00","9,888.40","-6.71","15.55"
"JSWSTEEL","1,135.00","1,145.80","1,106.40","1,140.40","1,135.20","-","-5.20","-0.46","22,08,479","249.27","1,284.70","905.20","-10.42","8.73"
"UNIONBANK","168.50","172.80","164.20","171.64","172.68","-","1.04","0.61","1,47,15,599","247.10","205.49","112.52","-12.85","31.53"
"APOLLOHOSP","7,150.50","7,368.00","7,150.50","7,305.50","7,299.00","-","-6.50","-0.09","3,38,111","245.74","8,099.50","6,490.85","-6.32","9.41"
"BRITANNIA","5,460.00","5,471.00","5,351.50","5,474.00","5,469.50","-","-4.50","-0.08","4,44,248","240.30","6,336.00","4,605.05","-8.21","7.81"
"PNB","102.00","104.97","99.79","104.00","104.40","-","0.40","0.38","2,32,12,183","236.95","135.15","89.45","-17.18","5.45"
"HINDZINC","510.00","518.40","503.35","524.45","516.45","-","-8.00","-1.53","43,87,980","223.80","733.00","388.55","-16.38","12.48"
"BAJAJ-AUTO","8,835.50","8,835.50","8,624.00","8,895.50","8,740.00","-","-155.50","-1.75","2,54,975","222.68","10,187.00","7,089.35","-10.60","10.46"
"INDHOTEL","578.00","584.90","565.00","585.20","584.25","-","-0.95","-0.16","38,49,686","221.70","853.35","565.00","-10.25","-29.70"
"GAIL","138.95","142.00","137.50","140.67","141.80","-","1.13","0.80","1,52,68,069","213.20","202.79","134.36","-14.10","-22.78"
"MUTHOOTFIN","3,150.00","3,200.20","3,145.00","3,256.00","3,179.00","-","-77.00","-2.36","6,57,545","208.67","4,149.50","1,965.00","-8.44","34.12"
"HYUNDAI","1,715.00","1,719.90","1,660.10","1,716.20","1,709.90","-","-6.30","-0.37","11,63,380","197.06","2,890.00","1,541.70","-20.40","3.48"
"MAXHEALTH","954.00","958.30","929.05","958.90","946.50","-","-12.40","-1.29","18,89,808","177.85","1,314.30","929.05","-12.65","-15.59"
"IRFC","90.00","92.19","88.60","91.99","91.82","-","-0.17","-0.18","1,91,73,192","172.88","148.95","87.00","-7.57","-28.91"
"GODREJCP","992.00","1,000.40","967.05","997.55","994.75","-","-2.80","-0.28","17,37,577","171.57","1,309.00","967.05","-15.41","-14.40"
